date,open,high,low,close,adj close,volume
2016-09-09,3.740000009536743,3.740000009536743,3.5699999332427983,3.5999999046325684,3.5999999046325684,144000
2016-09-12,3.609999895095825,3.7000000476837163,3.5,3.5999999046325684,3.5999999046325684,123900
2016-09-13,3.5799999237060547,3.5799999237060547,3.4200000762939453,3.4300000667572017,3.4300000667572017,101400
2016-09-14,3.440000057220459,3.509999990463257,3.380000114440918,3.4100000858306885,3.4100000858306885,112900
2016-09-15,3.440000057220459,3.490000009536743,3.2300000190734863,3.380000114440918,3.380000114440918,96700
2016-09-16,3.3399999141693115,3.380000114440918,3.3299999237060547,3.3499999046325684,3.3499999046325684,59400
2016-09-19,3.359999895095825,3.4100000858306885,3.2999999523162837,3.359999895095825,3.359999895095825,72900
2016-09-20,3.3499999046325684,3.4500000476837163,3.3499999046325684,3.390000104904175,3.390000104904175,124700
2016-09-21,3.4300000667572017,3.490000009536743,3.4100000858306885,3.470000028610229,3.470000028610229,119500
2016-09-22,3.5,3.509999990463257,3.4800000190734863,3.490000009536743,3.490000009536743,137600
2016-09-23,3.470000028610229,3.509999990463257,3.4500000476837163,3.4600000381469727,3.4600000381469727,58800
2016-09-26,3.4800000190734863,3.5,3.4200000762939453,3.4200000762939453,3.4200000762939453,113800
2016-09-27,3.4500000476837163,3.4500000476837163,3.359999895095825,3.400000095367432,3.400000095367432,75500
2016-09-28,3.4300000667572017,3.490000009536743,3.400000095367432,3.4500000476837163,3.4500000476837163,139200
2016-09-29,3.4600000381469727,3.490000009536743,3.359999895095825,3.4200000762939453,3.4200000762939453,86200
2016-09-30,3.4200000762939453,3.4500000476837163,3.400000095367432,3.440000057220459,3.440000057220459,45000
2016-10-03,3.4600000381469727,3.470000028610229,3.400000095367432,3.440000057220459,3.440000057220459,85600
2016-10-04,3.400000095367432,3.4500000476837163,3.400000095367432,3.4500000476837163,3.4500000476837163,116300
2016-10-05,3.4200000762939453,3.4500000476837163,3.390000104904175,3.400000095367432,3.400000095367432,130000
2016-10-06,3.4300000667572017,3.440000057220459,3.3499999046325684,3.400000095367432,3.400000095367432,94400
2016-10-07,3.400000095367432,3.4200000762939453,3.3199999332427983,3.390000104904175,3.390000104904175,74400
2016-10-10,3.400000095367432,3.400000095367432,3.2999999523162837,3.3399999141693115,3.3399999141693115,77600
2016-10-11,3.3299999237060547,3.5299999713897705,3.3199999332427983,3.470000028610229,3.470000028610229,178500
2016-10-12,3.509999990463257,4.0,3.509999990463257,3.7999999523162837,3.7999999523162837,1339500
2016-10-13,3.890000104904175,4.900000095367432,3.809999942779541,4.050000190734863,4.050000190734863,4879900
2016-10-14,4.190000057220459,4.239999771118163,3.7100000381469727,3.740000009536743,3.740000009536743,1176500
2016-10-17,3.7200000286102295,4.070000171661377,3.7200000286102295,4.059999942779541,4.059999942779541,359500
2016-10-18,4.059999942779541,4.539999961853027,4.059999942779541,4.230000019073486,4.230000019073486,692700
2016-10-19,4.2199997901916495,4.739999771118164,4.199999809265137,4.650000095367432,4.650000095367432,803000
2016-10-20,4.71999979019165,5.5900001525878915,4.710000038146973,4.889999866485597,4.889999866485597,2829300
2016-10-21,4.9099998474121085,5.199999809265137,4.760000228881836,4.940000057220459,4.940000057220459,1064500
2016-10-24,5.0,5.079999923706055,4.710000038146973,4.860000133514403,4.860000133514403,531400
2016-10-25,4.78000020980835,4.860000133514403,4.25,4.550000190734863,4.550000190734863,507700
2016-10-26,4.449999809265137,4.489999771118164,4.130000114440918,4.179999828338623,4.179999828338623,355800
2016-10-27,3.880000114440918,3.990000009536743,3.7200000286102295,3.7899999618530273,3.7899999618530273,771600
2016-10-28,3.75,3.829999923706055,3.7100000381469727,3.8199999332427983,3.8199999332427983,219800
2016-10-31,3.7999999523162837,3.940000057220459,3.7999999523162837,3.849999904632568,3.849999904632568,136100
2016-11-01,3.849999904632568,4.050000190734863,3.849999904632568,4.0,4.0,205300
2016-11-02,4.0,4.0,3.5999999046325684,3.7000000476837163,3.7000000476837163,176200
2016-11-03,3.75,3.75,3.4500000476837163,3.5,3.5,174300
2016-11-04,3.4500000476837163,3.5,3.2999999523162837,3.4500000476837163,3.4500000476837163,203500
2016-11-07,3.5,3.5499999523162837,3.4500000476837163,3.5,3.5,176900
2016-11-08,3.4500000476837163,3.4500000476837163,3.25,3.25,3.25,695500
2016-11-09,3.400000095367432,3.5499999523162837,3.3499999046325684,3.4500000476837163,3.4500000476837163,1074800
2016-11-10,3.5499999523162837,3.630000114440918,3.400000095367432,3.5499999523162837,3.5499999523162837,408500
2016-11-11,3.5,3.5999999046325684,3.4500000476837163,3.5,3.5,94500
2016-11-14,3.5499999523162837,3.5899999141693115,3.4500000476837163,3.4500000476837163,3.4500000476837163,104100
2016-11-15,3.4500000476837163,3.5499999523162837,3.400000095367432,3.4500000476837163,3.4500000476837163,123100
2016-11-16,3.5,3.5999999046325684,3.4500000476837163,3.5,3.5,121900
2016-11-17,3.5,3.539999961853028,3.400000095367432,3.4500000476837163,3.4500000476837163,117100
2016-11-18,3.400000095367432,3.5499999523162837,3.25,3.5,3.5,268000
2016-11-21,3.5,3.5,3.3499999046325684,3.400000095367432,3.400000095367432,155200
2016-11-22,3.400000095367432,3.5,3.3499999046325684,3.4500000476837163,3.4500000476837163,96500
2016-11-23,3.4500000476837163,3.5,3.369999885559082,3.4500000476837163,3.4500000476837163,106700
2016-11-25,3.4500000476837163,3.4500000476837163,3.3499999046325684,3.400000095367432,3.400000095367432,82700
2016-11-28,3.4500000476837163,3.4500000476837163,3.3499999046325684,3.400000095367432,3.400000095367432,100800
2016-11-29,3.400000095367432,3.5,3.3499999046325684,3.4500000476837163,3.4500000476837163,128400
2016-11-30,3.4500000476837163,3.5,3.400000095367432,3.400000095367432,3.400000095367432,75000
2016-12-01,3.4500000476837163,3.4500000476837163,3.2999999523162837,3.400000095367432,3.400000095367432,151600
2016-12-02,3.400000095367432,3.5499999523162837,3.3499999046325684,3.4500000476837163,3.4500000476837163,228200
2016-12-05,3.4500000476837163,3.5,3.400000095367432,3.4500000476837163,3.4500000476837163,88300
2016-12-06,3.400000095367432,3.4500000476837163,3.400000095367432,3.4500000476837163,3.4500000476837163,112900
2016-12-07,3.400000095367432,3.5499999523162837,3.400000095367432,3.5,3.5,72500
2016-12-08,3.5,3.7999999523162837,3.4500000476837163,3.7000000476837163,3.7000000476837163,1030100
2016-12-09,3.75,3.910000085830689,3.7000000476837163,3.7999999523162837,3.7999999523162837,459100
2016-12-12,3.900000095367432,3.900000095367432,3.75,3.849999904632568,3.849999904632568,338500
2016-12-13,3.849999904632568,3.900000095367432,3.75,3.7999999523162837,3.7999999523162837,244100
2016-12-14,3.849999904632568,3.849999904632568,3.7000000476837163,3.7999999523162837,3.7999999523162837,151200
2016-12-15,3.75,3.7999999523162837,3.7000000476837163,3.7999999523162837,3.7999999523162837,89400
2016-12-16,3.7999999523162837,3.7999999523162837,3.650000095367432,3.7000000476837163,3.7000000476837163,211700
2016-12-19,3.849999904632568,3.880000114440918,3.75,3.7999999523162837,3.7999999523162837,257300
2016-12-20,3.900000095367432,4.0,3.849999904632568,3.849999904632568,3.849999904632568,238600
2016-12-21,3.900000095367432,4.0,3.849999904632568,3.9500000476837163,3.9500000476837163,404800
2016-12-22,4.050000190734863,4.199999809265137,4.0,4.099999904632568,4.099999904632568,292500
2016-12-23,4.25,4.25,4.0,4.099999904632568,4.099999904632568,223900
2016-12-27,4.150000095367432,4.150000095367432,3.9500000476837163,4.050000190734863,4.050000190734863,149200
2016-12-28,4.0,4.0,3.5499999523162837,3.5499999523162837,3.5499999523162837,425000
2016-12-29,3.5999999046325684,3.7000000476837163,3.5499999523162837,3.5999999046325684,3.5999999046325684,206300
2016-12-30,3.650000095367432,3.650000095367432,3.490000009536743,3.5999999046325684,3.5999999046325684,184000
2017-01-03,3.5499999523162837,3.75,3.4500000476837163,3.5,3.5,291500
2017-01-04,3.5999999046325684,3.650000095367432,3.5499999523162837,3.650000095367432,3.650000095367432,346200
2017-01-05,2.5,3.0999999046325684,2.3499999046325684,3.0,3.0,2246000
2017-01-06,2.799999952316284,2.940000057220459,2.700000047683716,2.75,2.75,485900
2017-01-09,2.75,2.799999952316284,2.700000047683716,2.75,2.75,223600
2017-01-10,2.700000047683716,2.75,2.650000095367432,2.650000095367432,2.650000095367432,255400
2017-01-11,2.650000095367432,2.650000095367432,2.400000095367432,2.450000047683716,2.450000047683716,458100
2017-01-12,2.5,2.5,2.400000095367432,2.450000047683716,2.450000047683716,151900
2017-01-13,2.5,2.5999999046325684,2.5,2.549999952316284,2.549999952316284,192700
2017-01-17,2.549999952316284,3.0999999046325684,2.549999952316284,2.900000095367432,2.900000095367432,789500
2017-01-18,3.0,3.0999999046325684,2.5999999046325684,2.700000047683716,2.700000047683716,567600
